rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
11,Owl-Listener/designer-skills,Owl-Listener,"Designer Skills Collection: agentic skills, commands, and plugins for design — from research to systems, UI, interaction, and delivery.",Shell,1368,9,243,,https://github.com/Owl-Listener/designer-skills,2026-05-25T11:36:12.421310+00:00,daily,shell
12,techjarves/termux-hacklab,techjarves,"Turn your Android into a GPU-accelerated Linux hacking lab with one command! XFCE Desktop + Nmap, SQLMap, Hydra, Wine & more. No root required.",Shell,521,5,98,,https://github.com/techjarves/termux-hacklab,2026-05-25T11:36:12.422002+00:00,daily,shell
13,awslabs/agent-plugins,awslabs,"Agent Plugins for AWS equip AI coding agents with the skills to help you architect, deploy, and operate on AWS.",Shell,751,1,105,,https://github.com/awslabs/agent-plugins,2026-05-25T11:36:12.422670+00:00,daily,shell
2,signerlabs/ShipSwift,signerlabs,AI-native SwiftUI component library with full-stack recipes — connect via MCP for instant access.,Swift,1718,91,108,,https://github.com/signerlabs/ShipSwift,2026-05-25T11:36:17.454534+00:00,daily,swift
3,realskyrin/capcap,realskyrin,"A lightweight, native macOS screenshot tool that lives in your menu bar. Double-tap ⌘ Command to capture any region of your screen — instantly copied to clipboard, or annotate first with pen and mosaic tools.",Swift,325,64,26,,https://github.com/realskyrin/capcap,2026-05-25T11:36:17.455218+00:00,daily,swift
4,zachlatta/freeflow,zachlatta,Free & fast alternative to Wispr Flow,Swift,1779,16,153,,https://github.com/zachlatta/freeflow,2026-05-25T11:36:17.455949+00:00,daily,swift
5,lwouis/alt-tab-macos,lwouis,Windows alt-tab on macOS,Swift,15719,14,578,,https://github.com/lwouis/alt-tab-macos,2026-05-25T11:36:17.456758+00:00,daily,swift
6,sw33tLie/macshot,sw33tLie,"Feature-packed native macOS screenshot & recording tool: annotate, auto-redact PII, record GIFs, OCR + translate, scroll capture, beautify, and more. No Electron, no subscription.",Swift,1783,34,104,,https://github.com/sw33tLie/macshot,2026-05-25T11:36:17.457490+00:00,daily,swift
7,groue/GRDB.swift,groue,"A toolkit for SQLite databases, with a focus on application development",Swift,8413,4,926,,https://github.com/groue/GRDB.swift,2026-05-25T11:36:17.458132+00:00,daily,swift
8,utmapp/UTM,utmapp,Virtual machines for iOS and macOS,Swift,34185,15,1717,,https://github.com/utmapp/UTM,2026-05-25T11:36:17.458756+00:00,daily,swift
9,rooootdev/lara,rooootdev,"iOS Toolbox using the DarkSword kexploit. iOS 17.0 - iOS 18.7.1 & iOS 26.0.x, excluding M5 and A19.",Swift,1128,11,138,,https://github.com/rooootdev/lara,2026-05-25T11:36:17.459995+00:00,daily,swift
10,vapor/vapor,vapor,💧 A server-side Swift HTTP web framework.,Swift,26078,4,1513,,https://github.com/vapor/vapor,2026-05-25T11:36:17.460978+00:00,daily,swift
11,pointfreeco/swift-composable-architecture,pointfreeco,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",Swift,14668,8,1652,,https://github.com/pointfreeco/swift-composable-architecture,2026-05-25T11:36:17.461771+00:00,daily,swift
12,LiveContainer/LiveContainer,LiveContainer,Run iOS apps without actually installing them!,Swift,8228,12,666,,https://github.com/LiveContainer/LiveContainer,2026-05-25T11:36:17.462549+00:00,daily,swift
13,rime/squirrel,rime,【鼠鬚管】Rime for macOS,Swift,6002,3,500,,https://github.com/rime/squirrel,2026-05-25T11:36:17.463628+00:00,daily,swift
14,claration/Feather,claration,"Free on-device iOS/iPadOS application manager/installer, using certificates part of the Apple Developer Program.",Swift,4146,9,358,,https://github.com/claration/Feather,2026-05-25T11:36:17.465202+00:00,daily,swift
15,supertone-inc/supertonic,supertone-inc,"Lightning-Fast, On-Device, Multilingual TTS — running natively via ONNX.",Swift,10345,379,1056,,https://github.com/supertone-inc/supertonic,2026-05-25T11:36:17.466066+00:00,daily,swift
16,tisfeng/Easydict,tisfeng,一个简洁优雅的词典翻译 macOS App。开箱即用，支持离线 OCR 识别，支持有道词典，🍎 苹果系统词典，🍎 苹果系统翻译，OpenAI，Gemini，DeepL，Google，Bing，腾讯，百度，阿里，小牛，彩云和火山翻译。A concise and elegant Dictionary and Translator macOS App for looking up words and translating text.,Swift,13290,26,664,,https://github.com/tisfeng/Easydict,2026-05-25T11:36:17.467387+00:00,daily,swift
17,seemoo-lab/openhaystack,seemoo-lab,Build your own 'AirTags' 🏷 today! Framework for tracking personal Bluetooth devices via Apple's massive Find My network.,Swift,12991,7,649,,https://github.com/seemoo-lab/openhaystack,2026-05-25T11:36:17.468338+00:00,daily,swift
18,Alamofire/Alamofire,Alamofire,Elegant HTTP Networking in Swift,Swift,42382,2,7662,,https://github.com/Alamofire/Alamofire,2026-05-25T11:36:17.469079+00:00,daily,swift
1,maxrave-dev/SimpMusic,maxrave-dev,A cross-platform music app using YouTube Music for backend,Kotlin,9233,20,428,,https://github.com/maxrave-dev/SimpMusic,2026-05-25T11:36:23.228125+00:00,daily,kotlin
2,home-assistant/android,home-assistant,Home Assistant Companion for Android,Kotlin,3620,3,972,,https://github.com/home-assistant/android,2026-05-25T11:36:23.228952+00:00,daily,kotlin
3,mihonapp/mihon,mihonapp,Free and open source manga reader for Android,Kotlin,20892,53,1181,,https://github.com/mihonapp/mihon,2026-05-25T11:36:23.229724+00:00,daily,kotlin
4,keiyoushi/extensions-source,keiyoushi,Source code of extensions in,Kotlin,4151,14,1345,,https://github.com/keiyoushi/extensions-source,2026-05-25T11:36:23.230579+00:00,daily,kotlin
5,JunkFood02/Seal,JunkFood02,"🦭 Video/Audio Downloader for Android, based on yt-dlp",Kotlin,26436,29,1194,,https://github.com/JunkFood02/Seal,2026-05-25T11:36:23.231293+00:00,daily,kotlin
6,xororz/local-dream,xororz,Run Stable Diffusion on Android Devices with Snapdragon NPU acceleration. Also supports CPU/GPU inference.,Kotlin,2472,21,155,,https://github.com/xororz/local-dream,2026-05-25T11:36:23.231953+00:00,daily,kotlin
7,LanRhyme/MicYou,LanRhyme,MicYou is a powerful tool that turns your Android device into a high-quality microphone for your PC.,Kotlin,2456,43,114,,https://github.com/LanRhyme/MicYou,2026-05-25T11:36:23.232573+00:00,daily,kotlin
8,wxxsfxyzm/InstallerX-Revived,wxxsfxyzm,More Expressive InstallerX !,Kotlin,4891,15,197,,https://github.com/wxxsfxyzm/InstallerX-Revived,2026-05-25T11:36:23.233330+00:00,daily,kotlin
9,topjohnwu/Magisk,topjohnwu,The Magic Mask for Android,Kotlin,60612,18,17525,,https://github.com/topjohnwu/Magisk,2026-05-25T11:36:23.234128+00:00,daily,kotlin
10,FossifyOrg/Gallery,FossifyOrg,Browse your memories without any interruptions with this photo and video gallery,Kotlin,3395,7,202,,https://github.com/FossifyOrg/Gallery,2026-05-25T11:36:23.234947+00:00,daily,kotlin
11,recloudstream/cloudstream,recloudstream,Android app for streaming and downloading media.,Kotlin,9728,13,886,,https://github.com/recloudstream/cloudstream,2026-05-25T11:36:23.235749+00:00,daily,kotlin
12,JetBrains/koog,JetBrains,"Koog is a JVM (Java and Kotlin) framework for building predictable, fault-tolerant and enterprise-ready AI agents across all platforms – from backend services to Android and iOS, JVM, and even in-browser environments. Koog is based on our AI products expertise and provides proven solutions for complex LLM and AI problems",Kotlin,4230,8,410,,https://github.com/JetBrains/koog,2026-05-25T11:36:23.236642+00:00,daily,kotlin
13,RikkaApps/Shizuku,RikkaApps,Using system APIs directly with adb/root privileges from normal apps through a Java process started with app_process.,Kotlin,25525,54,2420,,https://github.com/RikkaApps/Shizuku,2026-05-25T11:36:23.237496+00:00,daily,kotlin
14,deniscerri/ytdlnis,deniscerri,Full-featured audio/video downloader for Android using yt-dlp,Kotlin,8681,10,376,,https://github.com/deniscerri/ytdlnis,2026-05-25T11:36:23.238284+00:00,daily,kotlin
15,MatsuriDayo/NekoBoxForAndroid,MatsuriDayo,NekoBox for Android / sing-box / universal proxy toolchain for Android,Kotlin,20939,27,1647,,https://github.com/MatsuriDayo/NekoBoxForAndroid,2026-05-25T11:36:23.239065+00:00,daily,kotlin
16,2dust/v2rayNG,2dust,"A V2Ray client for Android, support Xray core and v2fly core",Kotlin,56778,73,7462,,https://github.com/2dust/v2rayNG,2026-05-25T11:36:23.239933+00:00,daily,kotlin
17,Arturo254/OpenTune,Arturo254,"Un cliente de YouTube Music con Material Design 3, para Android",Kotlin,1543,9,125,,https://github.com/Arturo254/OpenTune,2026-05-25T11:36:23.240704+00:00,daily,kotlin
18,tanujnotes/Olauncher,tanujnotes,Minimal AF Launcher for Android. Reduce your screen time. Daily wallpapers.,Kotlin,3565,3,436,,https://github.com/tanujnotes/Olauncher,2026-05-25T11:36:23.241482+00:00,daily,kotlin
