rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
10,HelixDB/helix-db,HelixDB,HelixDB is an open-source graph-vector database built from scratch in Rust.,Rust,4533,169,242,,https://github.com/HelixDB/helix-db,2026-05-18T08:34:42.385270+00:00,weekly,rust
11,zizmorcore/zizmor,zizmorcore,Static analysis for GitHub Actions,Rust,4985,467,191,,https://github.com/zizmorcore/zizmor,2026-05-18T08:34:42.385680+00:00,weekly,rust
12,hank9999/kiro.rs,hank9999,A Kiro Client in Rust,Rust,1418,229,378,,https://github.com/hank9999/kiro.rs,2026-05-18T08:34:42.386037+00:00,weekly,rust
13,iii-hq/iii,iii-hq,"Effortlessly compose, extend, and observe every service in real-time for the first time ever.",Rust,15765,212,1050,,https://github.com/iii-hq/iii,2026-05-18T08:34:42.386360+00:00,weekly,rust
14,ArthurBrussee/brush,ArthurBrussee,3D Reconstruction for all,Rust,4550,486,248,,https://github.com/ArthurBrussee/brush,2026-05-18T08:34:42.386673+00:00,weekly,rust
15,dnakov/litter,dnakov,,Rust,1829,190,142,,https://github.com/dnakov/litter,2026-05-18T08:34:42.386996+00:00,weekly,rust
16,cloudflare/quiche,cloudflare,🥧 Savoury implementation of the QUIC transport protocol and HTTP/3,Rust,11492,44,991,,https://github.com/cloudflare/quiche,2026-05-18T08:34:42.387356+00:00,weekly,rust
17,openai/codex,openai,Lightweight coding agent that runs in your terminal,Rust,83433,1814,12092,,https://github.com/openai/codex,2026-05-18T08:34:42.387707+00:00,weekly,rust
2,chenhg5/cc-connect,chenhg5,"Bridge local AI coding agents (Claude Code, Cursor, Gemini CLI, Codex) to messaging platforms (Feishu/Lark, DingTalk, Slack, Telegram, Discord, LINE, WeChat Work). Chat with your AI dev assistant from anywhere — no public IP required for most platforms.",Go,9624,1227,884,,https://github.com/chenhg5/cc-connect,2026-05-18T08:34:47.234347+00:00,weekly,go
3,Tencent/WeKnora,Tencent,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",Go,15160,609,1902,,https://github.com/Tencent/WeKnora,2026-05-18T08:34:47.234903+00:00,weekly,go
4,QuantumNous/new-api,QuantumNous,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management. 🍥",Go,33988,1721,7512,,https://github.com/QuantumNous/new-api,2026-05-18T08:34:47.235395+00:00,weekly,go
