rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
18,moonlight-stream/moonlight-qt,moonlight-stream,"GameStream client for PCs (Windows, Mac, Linux, and Steam Link)",C++,17150,330,1074,,https://github.com/moonlight-stream/moonlight-qt,2026-05-18T08:36:11.484404+00:00,monthly,c++
19,ml-explore/mlx,ml-explore,MLX: An array framework for Apple silicon,C++,26293,831,1809,,https://github.com/ml-explore/mlx,2026-05-18T08:36:11.484710+00:00,monthly,c++
20,nlohmann/json,nlohmann,JSON for Modern C++,C++,49720,355,7394,,https://github.com/nlohmann/json,2026-05-18T08:36:11.485016+00:00,monthly,c++
21,leejet/stable-diffusion.cpp,leejet,"Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++",C++,6033,276,621,,https://github.com/leejet/stable-diffusion.cpp,2026-05-18T08:36:11.485317+00:00,monthly,c++
22,Vita3K/Vita3K,Vita3K,Experimental PlayStation Vita emulator,C++,5270,103,518,,https://github.com/Vita3K/Vita3K,2026-05-18T08:36:11.485605+00:00,monthly,c++
23,microsoft/onnxruntime,microsoft,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",C++,20531,676,3918,,https://github.com/microsoft/onnxruntime,2026-05-18T08:36:11.485921+00:00,monthly,c++
1,OpenVPN/openvpn,OpenVPN,OpenVPN is an open source VPN daemon,C,13860,363,3316,,https://github.com/OpenVPN/openvpn,2026-05-18T08:36:17.231760+00:00,monthly,c
2,curl/curl,curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, MQTTS, POP3, POP3S, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,41900,639,7203,,https://github.com/curl/curl,2026-05-18T08:36:17.232101+00:00,monthly,c
3,raysan5/raylib,raysan5,A simple and easy-to-use library to enjoy videogames programming,C,32977,957,3100,,https://github.com/raysan5/raylib,2026-05-18T08:36:17.232416+00:00,monthly,c
4,Genymobile/scrcpy,Genymobile,Display and control your Android device,C,141883,3424,13094,,https://github.com/Genymobile/scrcpy,2026-05-18T08:36:17.232723+00:00,monthly,c
5,HansKristian-Work/vkd3d-proton,HansKristian-Work,Fork of VKD3D. Development branches for Proton's Direct3D 12 implementation.,C,2751,102,286,,https://github.com/HansKristian-Work/vkd3d-proton,2026-05-18T08:36:17.233082+00:00,monthly,c
6,nginx/nginx,nginx,The official NGINX Open Source repository.,C,30382,446,7911,,https://github.com/nginx/nginx,2026-05-18T08:36:17.233421+00:00,monthly,c
7,meshcore-dev/MeshCore,meshcore-dev,"A new lightweight, hybrid routing mesh protocol for packet radios",C,2880,371,913,,https://github.com/meshcore-dev/MeshCore,2026-05-18T08:36:17.233723+00:00,monthly,c
8,pbatard/rufus,pbatard,The Reliable USB Formatting Utility,C,36092,654,3054,,https://github.com/pbatard/rufus,2026-05-18T08:36:17.234019+00:00,monthly,c
9,cactus-compute/cactus,cactus-compute,Low-latency AI engine for mobile devices & wearables,C,5078,373,403,,https://github.com/cactus-compute/cactus,2026-05-18T08:36:17.234303+00:00,monthly,c
10,winsiderss/systeminformer,winsiderss,"A free, powerful, multi-purpose tool that helps you monitor system resources, debug software and detect malware. Brought to you by Winsider Seminars & Solutions, Inc. @",C,14717,798,1685,,https://github.com/winsiderss/systeminformer,2026-05-18T08:36:17.234592+00:00,monthly,c
11,ventoy/Ventoy,ventoy,A new bootable USB solution.,C,76684,907,4805,,https://github.com/ventoy/Ventoy,2026-05-18T08:36:17.234875+00:00,monthly,c
12,cilium/tetragon,cilium,eBPF-based Security Observability and Runtime Enforcement,C,4676,102,543,,https://github.com/cilium/tetragon,2026-05-18T08:36:17.235163+00:00,monthly,c
13,valkey-io/valkey,valkey-io,A flexible distributed key-value database that is optimized for caching and other realtime workloads.,C,25801,350,1141,,https://github.com/valkey-io/valkey,2026-05-18T08:36:17.235450+00:00,monthly,c
14,radareorg/radare2,radareorg,UNIX-like reverse engineering framework and command-line toolset,C,23855,438,3228,,https://github.com/radareorg/radare2,2026-05-18T08:36:17.235734+00:00,monthly,c
15,git/git,git,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (,C,61019,717,27910,,https://github.com/git/git,2026-05-18T08:36:17.236028+00:00,monthly,c
16,libsdl-org/SDL,libsdl-org,Simple DirectMedia Layer,C,15673,313,2762,,https://github.com/libsdl-org/SDL,2026-05-18T08:36:17.236311+00:00,monthly,c
17,redis/redis,redis,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",C,74404,623,24628,,https://github.com/redis/redis,2026-05-18T08:36:17.236594+00:00,monthly,c
18,xiaojieonly/Ehviewer_CN_SXJ,xiaojieonly,ehviewer，用爱发电，快乐前行,C,24065,571,630,,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,2026-05-18T08:36:17.236873+00:00,monthly,c
